customer_id,first_name,last_name,email,address_line1,address_line2,city,postcode,phone_num,special_notes
1,Darren,Hill,darrenhill@outlook.com,14 London Terrace,,London,E2 7SQ,(020) 5580 6861,
2,Amy,Swane,amyswane@gmail.com,Flat 2,122 St Katharines Way,London,E1W 1UJ,(020) 1137 5241,
3,Ardith,Eede,arditheede@gmail.com,28 Camden Road,,London,E11 2JP,(01708) 232668,
4,Cointon,Leal,cointonleal@yahoo.com,5 Trevose Road,,London,E17 4DS,(01708) 162265,
5,Cornie,Micheu,corniemicheu@gmail.com,Flat 6,2 Kings Close,London,E10 5BB,(020) 6440 7257,
6,David,Hesketh,davidhesketh@yahoo.com,87 Park Grove Road,,London,E11 4PT,(020) 1875 7542,
7,Derek,Morrow,derekmorrow@outlook.com,15 St Johns Road,,London,E6 1NW,(01708) 153825,
8,Freida,Hulburt,freidahulburt@outlook.com,14 Canning Road,,London,SW1 3NW,(020) 4646 5811,
9,Ami,Todeo,amitodeo@gmail.com,Flat 5,4 - 6 Davenant Street,London,E16 4ST,(020) 8675 5833,
10,Cosetta,McWilliams,cosettamcwilliams@outlook.com,15 Cedars Avenue,,London,E17 7QL,(020) 5485 5387,Uses a motorised wheelchair
11,Richard,Leach,richardleach@gmail.com,Flat 2,2 New Goulston Street,London,E1 7PR,(020) 6010 0244,
12,Sinclare,Wooder,sinclarewooder@gmail.com,5 Shaw Square,,London,E17 5JB,(020) 4718 4008,
13,Wayland,Jeroch,waylandjeroch@gmail.com,26 Turner Street,,London,E1 2AS,(020) 0406 8870,
14,Winfield,Wogan,winfieldwogan@yahoo.com,8 Widdin Street,,London,SW1 4RY,(020) 5516 6306,Needs to sit near front
15,John,Brown,johnbrown@outlook.com,122 Keogh Road,,London,SW1 4NT,(020) 6247 1718,
16,Amii,Polet,amiipolet@gmail.com,24 Marshfield Street,,London,E14 3HQ,(020) 0502 2727,
17,Andie,Ashley,andieashley@yahoo.com,8 Poppleton Road,,London,E11 1LR,(01708) 688377,
18,Crissie,Klug,crissieklug@outlook.com,142 Leyton Road,,London,SW1 1DR,(020) 6308 6418,
19,Eilis,Ferrand,eilisferrand@gmail.com,Flat 5,110 The Grove,London,SW1 1NR,(020) 7067 2145,
20,Michal,Krawczyk,michalkrawczyk@gmail.com,Flat 2,White Horse Lane,London,E1 4QS,(020) 0330 1830,
21,Tracy,Dunn,tracydunn@gmail.com,48 Taeping Street,,London,E14 9UT,(020) 8056 1866,
22,Remy,Stower,remystower@outlook.com,12 Pengelly Apartments,9 Bartlett Mews,London,E14 3GT,(020) 1257 4614,
23,Blinni,Quakley,blinniquakley@gmail.com,48 Boundary Road,,London,E13 9PR,(01708) 022736,
